2024-08-25 17:23:39 - INFO - SYMBOL MATCH: SNRNP27: 11017
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: SNRPD1: 6632
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: SNRPD2: 6633
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: SRCAP: 10847
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: SRFBP1: 153443
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: SRSF1: 6426
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: SRSF3: 6428
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: SUPT5H: 6829
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: SUPT6H: 6830
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: SUPV3L1: 6832
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: TFIP11: 24144
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: THOP1: 7064
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: TIMM10: 26519
2024-08-25 17:23:39 - INFO - ALIAS MATCH: TSTA3: 7264
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: TUBA1B: 10376
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: TUBGCP2: 10844
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: U2AF1: 7307
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: U2AF2: 11338
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: UBA1: 7317
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: USP39: 10713
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: VCP: 7415
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: WDR12: 55759
2024-08-25 17:23:39 - INFO - ALIAS MATCH: WDR60: 55112
2024-08-25 17:23:39 - INFO - ALIAS MATCH: WDR61: 80349
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: XAB2: 56949
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: XPO1: 7514
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: YY1: 7528
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: ZBTB48: 3104
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: ZC3H13: 23091
2024-08-25 17:23:39 - INFO - SYMBOL MATCH: ZNF207: 7756
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
2024-08-25 17:23:39 - ERROR - NO MATCH: nan
